"#","Reference","Value","Footprint","Qty","Description","Manufacturer PN","Distributor Link"
"15","R2,R3","260","MB-Generic:R0603_medium","2","Resistor","311-261HRTR-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-07261RL/727095?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAGYBOAJgBZ4BdAgBwBcoQBlVgJwEsAdgHMQAXwJhKADkoIQySOmz4ipEAAYQDcSGrqpAVjkKluAsUhlqsMAAIA8gAsAtli0t2kEAFUBfVvYoALI4aFgArjw4YgQAtNTGULzhKhZkRtpxENDyqJhmqpbg5Fo6sbSJivmparTkBvAEUmB0UiAElPQA7AnaoqJAA"
"16","R4,R5,R6,R8,R9","1k","MB-Generic:R0603_medium","5","Resistor","311-1.00KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-071kl/726843"
"17","R7","1.5k","MB-Generic:R0603_medium","1","Resistor","311-1.50KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-071k5l/726864"
"18","R10,R11,R12","10k","MB-Generic:R0603_medium","3","Resistor","311-10.0KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-0710kl/726880"
"19","R13","180","MB-Generic:R0603_medium","1","Resistor","311-180HRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-07180rl/726994"
"20","R14,R15,R16","2","MB-Generic:R0603_medium","3","Resistor","13-RC0603JR-072RLTR-ND","https://www.digikey.com/en/products/detail/yageo/RC0603JR-072RL/5918445?s=N4IgjCBcoMxaBjKAzAhgGwM4FMA0IB7KAbRACYBWABjgF18AHAFyhAGUmAnASwDsBzEAF98YAGzwQSSGix5CJEDACcZACwT6IZqw48Bw0coAcyydNk58RSKSohaI8lWMVzKDFYW3yAAgDyABYAtpgOjCyQIACqvNxM-sgAstiomACunNiGIAC0ZO6QXOnyNqRujvi5ENBSHnLWimB0TrlqhZalimowFBL4xmDqxiD4yhoA7AWOQkJAA"
"21","SW1,SW4","EG1205","MB-SW:Solder_Joint_1_2","2","Single Pole Single Throw (SPST) switch","EG1205-ND",""
"22","SW2","~","MB-SW:PTS815SJM250SMTRLFS","1","PTS815SJM250SMTRLFS","CKN12215-2-ND","https://www.digikey.com/en/products/detail/c-k/pts815sjm250smtrlfs/9947846"
"23","SW3","BOOT","Button_Switch_SMD:Nidec_Copal_CAS-120A","1","Switch, single pole double throw","563-1021-2-ND","https://www.digikey.com/en/products/detail/nidec-components-corporation/cjs-1200ta/948332"
"24","SW5","360-2674-ND","MB-SW:Solder_Joint_1_2","1","Single Pole Single Throw (SPST) switch","360-2674-ND",""
"25","TH1","10K","MB-Generic:R0603_medium","1","Temperature dependent resistor, negative temperature coefficient","490-18139-2-ND","https://www.digikey.com/en/products/detail/murata-electronics/ncu18xh103f6srb/7243451"
"26","TP1,TP2,TP3,TP4,TP5,TP6","TestPoint","TestPoint:TestPoint_Pad_D1.5mm","6","test point","",""
"27","U1","TPS79533DCQR","Package_TO_SOT_SMD:SOT-223-6","1","","296-13810-2-ND","https://www.digikey.com/en/products/detail/texas-instruments/tps79533dcqr/510347"
"28","U2","LTC1733","MB-MSOP:10-MSOP-TE","1","LTC1733EMSE#TRPBF","LTC1733EMSE#TRPBFTR-ND","https://www.digikey.com/en/products/detail/analog-devices-inc/ltc1733emse-trpbf/961156"
"29","U3","SAM-M10Q","MB-GNSS:SAM-M10Q","1","SAM-M10Q","672-SAM-M10Q-00BTR-ND","https://www.digikey.com/en/products/detail/u-blox/sam-m10q-00b/16672678"
"30","U4","STM32F102C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1","STMicroelectronics Arm Cortex-M3 MCU, 64KB flash, 10KB RAM, 48 MHz, 2.0-3.6V, 37 GPIO, LQFP48","497-8307-ND","https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F102C8T6/1956086"
"31","X1","ECS-2520MV-160-CN","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","1","HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD","XC3030TR-ND","https://www.digikey.com/en/products/detail/ecs-inc/ecs-2520mv-160-cn-tr/9742387"
